parent_label,label
Agent,Association
Agent,Center
Agent,Clinical Organization
Agent,College
Agent,Committee
Agent,Company
Agent,Consortium
Agent,Department
Agent,Division
Agent,Extension Unit
Agent,Faculty Member
Agent,Faculty Member Emeritus
Agent,Foundation
Agent,Funding Organization
Agent,Government Agency
Agent,Hospital
Agent,Institute
Agent,Laboratory
Agent,Librarian
Agent,Librarian Emeritus
Agent,Library
Agent,Museum
Agent,Non-Academic
Agent,Non-Faculty Academic
Agent,Professor Emeritus
Agent,Program
Agent,Publisher
Agent,Research Organization
Agent,School
Agent,Student
Agent,Student Organization
Agent,Team
Agent,Technology Transfer Office
Agent,University
Area,Disputed
Area,Economic Region
Area,Non Self Governing
Area,Organization
Area,Other
Area,Self Governing
Area,Special Group
Area,Transnational Region
Article,Journal Article
Collection,Blog
Collection,Code
Collection,Court Reporter
Collection,Journal
Collection,Magazine
Collection,Newsletter
Collection,Newspaper
Concept,Certificate
Concept,License
Concept,Thesis Degree
Continuant,Agent
Continuant,Immaterial Entity
Continuant,Information Content Entity
Continuant,Material Entity
Continuant,Quality
Continuant,Realizable Entity
Continuant,Relationship
Data Item,Scalar Measurement Datum
Datum Label,Rate Unit
Directive Information Entity,Study Design
Document,Academic Article
Document,Blog Posting
Document,Book Section
Document,Conference Paper
Document,Database
Document,Edited Book
Document,Editorial Article
Document,Excerpt
Document,Film
Document,Issue
Document,Legal Case Document
Document,Legislation
Document,Letter
Document,Map
Document,Proceedings
Document,Review
Document,Slide
Document,Video
Document Part,Chapter
Document Part,Quote
Entity,Generically Dependent Continuant
Entity,Independent Continuant
Entity,Process
Entity,Specifically Dependent Continuant
Entity,Temporal Region
Event,Invited Talk
Explanatory,F1000 Link
Generically Dependent Continuant,Collection
Generically Dependent Continuant,Conclusion Textual Entity
Generically Dependent Continuant,Contact
Generically Dependent Continuant,Data Item
Generically Dependent Continuant,Database
Generically Dependent Continuant,Datum Label
Generically Dependent Continuant,Directive Information Entity
Generically Dependent Continuant,Document
Generically Dependent Continuant,Service
Generically Dependent Continuant,Textual Entity
Geographic Location,Continent
Geographic Location,Geopolitical Entity
Geographic Location,Subnational Region
Geographic Location,Transnational Region
Geographic Region,Country
Geographic Region,County
Geographic Region,Populated Place
Geographic Region,Self Governing
Geographic Region,State or Province
Geographic Region,Territory
Geopolitical Entity,Disputed
Geopolitical Entity,Non Self Governing
Geopolitical Entity,Other
Geopolitical Entity,Self Governing
Immaterial Entity,Facility
Immaterial Entity,Location
Independent Continuant,Biological Specimen
Independent Continuant,Equipment
Independent Continuant,Group
Independent Continuant,Instrument
Independent Continuant,Manufacturer
Independent Continuant,Organism
Independent Continuant,Organization
Independent Continuant,Person
Independent Continuant,Reagent
Independent Continuant,Site
Independent Continuant,Software
Independent Continuant,Spatial Region
Information Content Entity,Abstract
Information Content Entity,Access Service
Information Content Entity,Action Specification
Information Content Entity,Analysis Service
Information Content Entity,Article
Information Content Entity,Audio Document
Information Content Entity,Audio-Visual Document
Information Content Entity,Bibliographic Information Source
Information Content Entity,Book
Information Content Entity,Case Study
Information Content Entity,Catalog
Information Content Entity,Clinical Guideline
Information Content Entity,Collected Document
Information Content Entity,Comment
Information Content Entity,Conference Poster
Information Content Entity,Data about an Ontology Part
Information Content Entity,Dataset
Information Content Entity,Document Part
Information Content Entity,Erratum
Information Content Entity,FOAF Profile
Information Content Entity,Image
Information Content Entity,Legal Document
Information Content Entity,Maintenance Service
Information Content Entity,Manual
Information Content Entity,Material Processing Service
Information Content Entity,Measurement Datum
Information Content Entity,Measurement Unit Label
Information Content Entity,News Release
Information Content Entity,Note
Information Content Entity,Objective Specification
Information Content Entity,Patent
Information Content Entity,Periodical
Information Content Entity,Personal Communication Document
Information Content Entity,Plan Specification
Information Content Entity,Protocol
Information Content Entity,Reference Source
Information Content Entity,Report
Information Content Entity,Research Proposal
Information Content Entity,Score
Information Content Entity,Screenplay
Information Content Entity,Series
Information Content Entity,Slideshow
Information Content Entity,Speech
Information Content Entity,Standard
Information Content Entity,Storage Service
Information Content Entity,Support Service
Information Content Entity,Thesis
Information Content Entity,Training Service
Information Content Entity,Translation
Information Content Entity,Transport Service
Information Content Entity,Webpage
Information Content Entity,Website
Information Content Entity,Working Paper
Information Content Entity,manuscript
Laboratory,Core Laboratory
Legal Document,Bill
Legal Document,Brief
Legal Document,Decision
Legal Document,Statute
Location,Campus
Location,Geographic Region
Measurement Datum,Global Citation Count
Measurement Datum,Rate Measurement Datum
Measurement Datum,Topic Weight Measurement
Occurrent,Advising Process
Occurrent,Attending Process
Occurrent,Educational Process
Occurrent,Event
Occurrent,Event Series
Occurrent,One-Dimensional Temporal Region
Occurrent,Organizing Process
Occurrent,Phase
Occurrent,Planned Process
Occurrent,Presenting Process
Occurrent,Project
Occurrent,Zero-Dimensional Temporal Region
One-Dimensional Temporal Region,Academic Term
One-Dimensional Temporal Region,Academic Year
Organization,Academic Department
Organization,Private Company
Organization,Service Providing Lab
Person,Graduate Student
Person,Postdoc
Person,Professor Emeritus
Person,Undergraduate Student
Planned Process,Expertise Measurement Process
Planned Process,Human Study
Position,Postdoctoral Position
Process,Competition
Process,Conference
Process,Conference Series
Process,Course
Process,Exhibit
Process,Hearing
Process,Internship
Process,Interview
Process,Licensing
Process,Medical Residency
Process,Meeting
Process,Performance
Process,Phase 0
Process,Phase 1
Process,Phase 2
Process,Phase 3
Process,Phase 4
Process,Postdoctoral Training
Process,Presentation
Process,Research Project
Process,Research Project
Process,Seminar Series
Process,Technique
Process,Topic Weight Measurement Process
Process,Workshop
Process,Workshop Series
Project,Human Study
Realizable Entity,Administrator Role
Realizable Entity,Advisee Role
Realizable Entity,Advisor Role
Realizable Entity,Attendee Role
Realizable Entity,Clinical Role
Realizable Entity,Editor Role
Realizable Entity,Educator Role
Realizable Entity,Employee Role
Realizable Entity,Function
Realizable Entity,Funding Role
Realizable Entity,Leader Role
Realizable Entity,Member Role
Realizable Entity,Organizer Role
Realizable Entity,Outreach Provider Role
Realizable Entity,Presenter Role
Realizable Entity,Regulatory Role
Realizable Entity,Researcher Role
Realizable Entity,Reviewer Role
Realizable Entity,Service Provider Role
Realizable Entity,Student Role
Realizable Entity,Teacher Role
Realizable Entity,US Resident Role
Relationship,Certification
Relationship,Faculty Administrative Position
Relationship,Faculty Mentoring Relationship
Relationship,Faculty Position
Relationship,Graduate Advising Relationship
Relationship,Librarian Position
Relationship,Licensure
Relationship,Non-Academic Position
Relationship,Non-Faculty Academic Position
Relationship,Postdoc or Fellow Advising Relationship
Relationship,Primary Position
Relationship,Undergraduate Advising Relationship
Researcher Role,Co-Principal Investigator Role
Researcher Role,Principal Investigator Role
Role,Faculty Role
Role,Graduate Student Role
Role,High School Student Role
Role,Investigator Role
Role,Non-US Citizen
Role,Peer Reviewer Role
Role,Post-Baccalaureate Trainee
Role,Post-Graduate Student Trainee Role
Role,Staff Role
Role,US Citizen Role
Role,Undergraduate Student Role
Scalar Measurement Datum,Expertise Measurement
Service,Data Analysis Service
Service,Data Maintenance Service
Service,Data Storage Service
Service,Material Analysis Service
Service,Material Maintenance Service
Service,Material Modification Service
Service,Material Production Service
Service,Material Storage Service
Site,Building
Site,Room
Spatial Region,Geographic Location
Specifically Dependent Continuant,Advising Relationship
Specifically Dependent Continuant,Authorship
Specifically Dependent Continuant,Award or Honor Receipt
Specifically Dependent Continuant,Awarded Degree
Specifically Dependent Continuant,Contract
Specifically Dependent Continuant,Disposition
Specifically Dependent Continuant,Editorship
Specifically Dependent Continuant,Experience
Specifically Dependent Continuant,Grant
Specifically Dependent Continuant,Issued Credential
Specifically Dependent Continuant,Position
Specifically Dependent Continuant,Research Opportunity
Specifically Dependent Continuant,Role
Specifically Dependent Continuant,specialty
Temporal Region,Date/Time Interval
Temporal Region,Date/Time Value
US Resident Role,Non-Permanent Resident Role
US Resident Role,Permanent Resident Role
